ten,gia,giong_nho,nha_san_xuat,quoc_gia,nong_do,dung_tich,loai_ruou,url
Rượu Vang Pháp Domaine Faiveley Gevrey-Chambertin 1er Cru Clos des Issarts Monopole 2009,13.046.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-gevrey-chambertin-1er-cru-clos-des-issarts-monopole-2009/
Rượu Vang Pháp Domaine Faiveley Gevrey-Chambertin 1er Cru Clos des Issarts Monopole 2016,9.185.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-gevrey-chambertin-1er-cru-clos-des-issarts-monopole-2016/
Rượu Vang Pháp Domaine Faiveley Gevrey-Chambertin 1er Cru Clos des Issarts Monopole 2022,9.185.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-gevrey-chambertin-1er-cru-clos-des-issarts-monopole-2022/
Rượu Vang Pháp Domaine Faiveley Gevrey-Chambertin Petite Chapelle Premier Cru 2022,9.185.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-gevrey-chambertin-petite-chapelle-premier-cru-2022/
Rượu Vang Pháp Domaine Faiveley Marsannay Es Chezots 2023,3.190.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-marsannay-es-chezots-2023/
Rượu Vang Pháp Domaine Faiveley Mercurey 1er Cru Clos des Myglands Monopole 2022,2.541.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-mercurey-1er-cru-clos-des-myglands-monopole-2022/
Rượu Vang Pháp Domaine Faiveley Pommard Premier Cru Les Rugiens 2016,7.733.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-pommard-premier-cru-les-rugiens-2016/
Rượu Vang Pháp Domaine Faiveley Pommard Premier Cru Les Rugiens 2018,7.733.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-pommard-premier-cru-les-rugiens-2018/
Rượu Vang Pháp Domaine Faiveley Pommard Premier Cru Les Rugiens 2022,7.733.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-pommard-premier-cru-les-rugiens-2022/
Rượu Vang Pháp Faiveley Bourgogne Hautes-Côtes De Nuits Les Dames Huguettes 2023,2.046.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/faiveley-bourgogne-hautes-cotes-de-nuits-les-dames-huguettes-2023/
Rượu Vang Ý CF Collefrisio Golf Montepulciano d’Abruzzo 2019,2.420.000 ₫,Montepulciano D'abruzzo,Collefrisio,Vang Ý (Italy),14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-y/cf-collefrisio-golf-montepulciano-dabruzzo-2019/
Rượu Vang Pháp Domaine Gavignet Gevrey-Chambertin 2020,3.327.500 ₫,Pinot Noir,Domaine Gavignet,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-maurice-gevrey-chambertin/
Rượu vang Pháp Pierre Naigeon Bourgogne Hautes-Côtes de Nuits Petite Vigne 2018,1.485.000 ₫,Pinot Noir,Pierre Naigeon,Vang Pháp,14.2% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/pierre-naigeon-bourgogne-hautes-cotes-de-nuits-petite-vigne/
Rượu vang Pháp Château De Pommard Clos Marey-Monge 75 Rangs 2019,7.121.400 ₫,Pinot Noir,Château De Pommard,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-de-pommard-clos-marey-monge-75-rangs-2019/
Rượu vang Pháp Château De Pommard Clos Marey-Monge Chantrerie 2019,7.667.000 ₫,Pinot Noir,Château De Pommard,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-de-pommard-clos-marey-monge-chantrerie-2019/
Rượu vang Pháp Château De Pommard Clos Marey-Monge Grands Esprits 2019,5.313.000 ₫,Pinot Noir,Château De Pommard,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-de-pommard-clos-marey-monge-grands-esprits-2019/
Rượu vang Pháp Château De Pommard Clos Marey-Monge Monopole 2020,9.449.000 ₫,Pinot Noir,Château De Pommard,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-de-pommard-clos-marey-monge-monopole-2020/
Rượu vang Pháp Château De Pommard Clos Marey-Monge Nicolas-Joseph 2020,5.588.000 ₫,Pinot Noir,Château De Pommard,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-de-pommard-clos-marey-monge-nicolas-joseph-2020/
Rượu Vang Pháp Domaine Gavignet Beaune Premier Cru Les Belisand 2020,2.409.000 ₫,Pinot Noir,Domaine Gavignet,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-gavignet-beaune-premier-cru-les-belisand/
Rượu Vang Pháp Domaine Gavignet Chambolle Musigny Rouge 2018,3.327.500 ₫,Pinot Noir,Domaine Gavignet,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-gavignet-chambolle-musigny-rouge/
Rượu Vang Pháp Domaine Gavignet Nuits St Georges 1er Cru Les Chaignots 2014,3.751.000 ₫,Pinot Noir,Domaine Gavignet,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-gavignet-nuits-st-georges-1er-cru-les-chaignots/
Rượu Vang Pháp Laurent Ponsot Chambolle-Musigny Cuvée De La Violette 2018,3.806.000 ₫,Pinot Noir,Laurent Ponsot,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chambolle-musigny-cuvee-de-la-violette/
Rượu vang Pháp Laurent Ponsot Gevrey-Chambertin Cuvée De l’Aulne 2018,3.619.000 ₫,Pinot Noir,Laurent Ponsot,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/gevrey-chambertin-cuvee-de-laulne/
Rượu vang Pháp Laurent Ponsot Vosne-Romanée Cuvée Du Cerisier 2019,3.993.000 ₫,Pinot Noir,Laurent Ponsot,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/vosne-romanee-cuvee-du-cerisier-2019/
Rượu vang Pháp Château De Pommard Clos Marey-Monge Micault 2020,4.477.000 ₫,Pinot Noir,Château De Pommard,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-de-pommard-clos-marey-monge-micault-2020/
Rượu vang Pháp Charles Heidsieck Coteaux Champenois Red Ambonnay 2019,6.039.000 ₫,Pinot Noir,Champagne Charles Heidsieck,Vang Pháp,12% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/charles-heidsieck-coteaux-champenois-red-ambonnay-2019/
Rượu vang Pháp Château De Pommard Clos Marey-Monge 75 Rangs 2020,7.121.400 ₫,Pinot Noir,Château De Pommard,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-de-pommard-clos-marey-monge-75-rangs-2020/
Rượu vang Pháp Château Perthus,798.600 ₫,Bordeaux Blend,Château Perthus,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-perthus-2020/
Rượu vang Pháp Dourthe N°1 Rouge,693.000 ₫,Bordeaux Blend,Vignobles Dourthe,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/dourthe-n1-rouge/
